Tweet ID,Tweet Poster,Tweet Date,Tweet Text,Polarity Score,Subjectivity Score
1522759934550495232,Frontlinestory,2022-05-07 02:07:14+00:00,"On May 7, 1999, the US-led #NATO bombed the #Chinese embassy in #Belgrade, killing three Chinese journalists and in… https://t.co/MUVBTq9qho",0.0,0.0
1522466733914681345,Frontlinestory,2022-05-06 06:42:10+00:00,An exhibition was held in #Russia to reveal #NATO brutality. #WestWatch https://t.co/SoE6Vlr5XC,0.0,0.0
1522126198993670144,Frontlinestory,2022-05-05 08:09:00+00:00,"The US prepares to launch ""unprecedented"" sanctions on China's tech company #Hikvisison.
Hikvisison: Expect to be t… https://t.co/7WHGQ7yzMS",0.6,0.9
1522046163226341376,Frontlinestory,2022-05-05 02:50:58+00:00,NBC: #COVID death in the US surpassed 1 million. #WestWatch https://t.co/4ZSrItlbdp,0.0,0.0
1521745691571200000,Frontlinestory,2022-05-04 06:57:00+00:00,"""The fundamental driving force behind #NATO's eastward expansion after the #ColdWar was not the security needs of t… https://t.co/jejRam2sEm",-0.4,0.7
1521701218028232705,Frontlinestory,2022-05-04 04:00:16+00:00,"Noam Chomsky: The China Threat is, China exists, and does not follow US orders.#Chomsky #WestWatch https://t.co/LykBM58yX4",0.0,0.0
1521397820166905856,Frontlinestory,2022-05-03 07:54:41+00:00,"Major takeaway from #Gorbachev's talk with James Baker in 1992: #NATO will not expand one inch.
REALITY:↓ #WestWatch https://t.co/4nytXCwuQz",0.0625,0.5
1521051618266951680,Frontlinestory,2022-05-02 08:59:00+00:00,Infocus: How does Section 301 of the US Trade Act impact China-U.S. ties? #Section301 #ChinaUSRelation… https://t.co/MSFljRd5QX,0.0,0.0
1520656402225655808,Frontlinestory,2022-05-01 06:48:33+00:00,"A Congresswoman @IlhanMN appeals for student debt relief for millions of Americans, saying that if Biden ""cancels""… https://t.co/hXIi89Q0Fo",0.0,0.0
1520333307753697280,Frontlinestory,2022-04-30 09:24:41+00:00,"During a US delegation’s visit to #Taiwan, #US Senator Graham tried to convince Tsai to buy 24 #Boeing 787. Funny e… https://t.co/2pCYkCrv1P",0.25,1.0
1520333307753697280,Frontlinestory,2022-04-30 09:24:41+00:00,"During a US delegation’s visit to #Taiwan, #US Senator Graham tried to convince Tsai to buy 24 #Boeing 787. Funny e… https://t.co/2pCYkCrv1P",0.25,1.0
1520293414230986753,Frontlinestory,2022-04-30 06:46:10+00:00,"#Lavrov: #Russia does not consider itself at war with #NATO. Unfortunately, NATO seems to consider itself at war wi… https://t.co/Szuvw4KbER",-0.5,1.0
1520231567674978304,Frontlinestory,2022-04-30 02:40:24+00:00,"Sign of a US proxy war?
#PENTAGON Press Secretary #Kirby said, #US service members in #Germany have begun training… https://t.co/uK2XIWYXVd",0.0,0.0
1520231567674978304,Frontlinestory,2022-04-30 02:40:24+00:00,"Sign of a US proxy war?
#PENTAGON Press Secretary #Kirby said, #US service members in #Germany have begun training… https://t.co/uK2XIWYXVd",0.0,0.0
